id,usd_value,follower_count
0x11bb7422c654c0d314ea6143f867a1253b629ecb,464.0256567483135,344
0x46954180e738f40907f6e6224eececec2a8d3a99,462.5884365721505,7
0xdcc1f0af33526f1fc3905fb0104d81919d2e1571,460.00407647988516,1803
0xde8984a4ffdd70c9625337e2ea2773593c705250,456.71892463926855,1576
0x74c9e4d2b206fc8e6407b465ea7d581950c6c1f0,455.52609971198103,286
0xa07f86179ff04c33fcd1d66316bdbcf61a93dc14,450.9758018391176,238
0xfff2420e95fa887c22c32a168337fa28934d9134,447.1928756099014,263
0xbd67ba5651dc5d22abed1129c4edffec62e10c90,442.93809209958613,751
0xe0a5586f35ea486ddbcdc87e4229dba016fd5630,440.1061891115552,577
0x8c924a5fba05393b3b02b0966df578462faad1ff,438.99858335781323,1179
0x2fb41f56a1877fb02f20d1788974f9dbaafc284d,436.6149874596164,3580
0xfd8a26b4f4231752e737a1780cded303da50ea9f,436.3257090689613,102
0x90a986d3c166d950ea262f75232f542c64699336,435.5013699312683,129
0xb41f105cee63415bd5191086d35f63aa40482be9,429.44162737376087,396
0xc6211a39ffec5253c4b90c1db8493c64c400cccc,427.16050531849544,403
0x2e865643394c736b78789d36333521d708d61995,424.5814516959125,1751
0xe786b38f7a1f3a6e4d849b96149b9a0f0813f503,423.76950396187374,187
0x4e0c40621b3bc3459e39f9ed5469f884213e86df,413.68380842616943,3959
0x2e30937e01e823e225041464055fbdcdc25690c3,405.0158654058829,476
0xb46ed4e68c97cb3f69c286191007f0f64cfb2021,400.42166901599046,1662
0x0d448eee33f7181478c18d03f262ef1906bcd2cf,399.5673920337491,2497
0xf0e1a40b48b76691879fdb1900de5e75f0a4ff5e,399.12362311359817,191
0xcf571e890c3f319978eda4fe9f62dbe9cc7e3aa0,399.05675674138104,557
0xae5c5b196c251d60d4c678a14934730271c8b7ca,398.70792098675605,203
0xaf482b62d675d4c1d69e96c13dc2e2852a5c8652,395.09925025760026,661
0xaf0cb9cbe33f3ffd7684eda0dde2dbd3b73b64f8,393.9308079057631,280
0x0a0ef932176e5988168beb15b62d16176f4a5f79,389.7769687205589,270
0x5416cdaa6187e8d96f2676712740b034e90480e0,388.74992930284924,301
0x46989c8cf0d79cd012687f525eaee9945ef049a4,388.7276940233055,104
0x2a66783fe0bce3564081af19036aa636f9b5aaca,388.58212598078984,228
0xcacb7d3e376378dd54a6a02386cd03236c62f890,388.0491304455396,314
0xed3d7a63f09b86c6a1289c7a55f265d0e1238cd1,387.7813775755012,20
0x866959f5a67c5b791a7a42d777a33e34fd0e3cc6,387.70405023056003,251
0x83bde7360706f4aef7a46a1d0fd69a4e15c124fc,386.5751698794047,0
0x92ad12494f3d65e287227612bf01db4eb166fa32,384.67735648539986,214
0xf85824bb7775f14b66684ad92c2bc2d2638a90c5,384.3483844836326,1908
0x426c5ba2db0c5ff04194e6ee5ededadd41544227,382.9737226132955,7
0xcea0e745e2f52f18d03c562b7a84e9e6b5b82068,382.7727340703518,149
0x7e61c4d1a2f9c3e97ca05439d5758f50d6de21cf,377.01077966598586,2328
0x49c93f566bb687baed9bf139ebd1182d58005123,376.69015021015383,12
0xc8354f5d8e1c8f5a043fee4b8ea9b55e53468675,376.3237684906593,188
0xe2ad1f89ffa414f91e5e0f77b7b4be66be8373fa,375.6461544889597,216
0x0ef1e3b145db276564eabffda70633a9b05aa246,375.53449391363307,200
0x9374c06db74f810ded88f2facb15fab06beb5128,375.33910542844717,212
0x3de6b5adc3e17c2deed68a08a0c412b575e38d6e,375.2047261533076,303
0x08efcc9feae58422261759cf2e040132032d2823,373.3151123449705,2
0x3cfa963dfc914f24e9c84027e908b0a0cdbb9806,372.81910405312607,229
0x77ad841477733dd2a0b410ccd46583eb4a00a713,372.42775334351245,324
0x28c357e6301f1434f39cd032e811ffd50696dab0,372.0985534957171,194
0xb7dedf93bc68cdc0cb6e03519262d6181863b8c9,369.7508690950485,534
0xcb794d53530bee50ba48c539fbc8c5689ffae34f,369.1971122327878,451
